#         I (A)           V (V)
 1.00000000e-07  1.00458000e-03
 1.49494949e-07  1.50260900e-03
 1.98989899e-07  2.00075000e-03
 2.48484848e-07  2.50026300e-03
 2.97979798e-07  2.99940000e-03
 3.47474747e-07  3.49934700e-03
 3.96969697e-07  3.99789700e-03
 4.46464646e-07  4.49725500e-03
 4.95959596e-07  4.99765900e-03
 5.45454545e-07  5.49636900e-03
 5.94949495e-07  5.89532600e-03
 6.44444444e-07  6.39448000e-03
 6.93939394e-07  6.89526100e-03
 7.43434343e-07  7.39265000e-03
 7.92929293e-07  7.89257900e-03
 8.42424242e-07  8.39149300e-03
 8.91919192e-07  8.89092800e-03
 9.41414141e-07  9.38988300e-03
 9.90909091e-07  9.88960400e-03
 1.04040404e-06  1.03881300e-02
 1.08989899e-06  1.08824200e-02
 1.13939394e-06  1.13816800e-02
 1.18888889e-06  1.18797700e-02
 1.23838384e-06  1.23801000e-02
 1.28787879e-06  1.28793600e-02
 1.33737374e-06  1.33772700e-02
 1.38686869e-06  1.38770600e-02
 1.43636364e-06  1.43765900e-02
 1.48585859e-06  1.48751900e-02
 1.53535354e-06  1.53746200e-02
 1.58484848e-06  1.57738600e-02
 1.63434343e-06  1.62726400e-02
 1.68383838e-06  1.67718000e-02
 1.73333333e-06  1.72716800e-02
 1.78282828e-06  1.77695900e-02
 1.83232323e-06  1.82691000e-02
 1.88181818e-06  1.87689500e-02
 1.93131313e-06  1.92670200e-02
 1.98080808e-06  1.97665500e-02
 2.03030303e-06  2.02645500e-02
 2.07979798e-06  2.07488400e-02
 2.12929293e-06  2.12573200e-02
 2.17878788e-06  2.17563600e-02
 2.22828283e-06  2.22568600e-02
 2.27777778e-06  2.27555600e-02
 2.32727273e-06  2.32541600e-02
 2.37676768e-06  2.37538600e-02
 2.42626263e-06  2.42540400e-02
 2.47575758e-06  2.47511400e-02
 2.52525253e-06  2.52527900e-02
 2.57474747e-06  2.56509200e-02
 2.62424242e-06  2.61498500e-02
 2.67373737e-06  2.66490200e-02
 2.72323232e-06  2.71487100e-02
 2.77272727e-06  2.76463900e-02
 2.82222222e-06  2.81461000e-02
 2.87171717e-06  2.86454500e-02
 2.92121212e-06  2.91436100e-02
 2.97070707e-06  2.96432200e-02
 3.02020202e-06  3.01415700e-02
 3.06969697e-06  3.06429800e-02
 3.11919192e-06  3.11413400e-02
 3.16868687e-06  3.16396900e-02
 3.21818182e-06  3.21394200e-02
 3.26767677e-06  3.26395900e-02
 3.31717172e-06  3.31378100e-02
 3.36666667e-06  3.36384600e-02
 3.41616162e-06  3.41374800e-02
 3.46565657e-06  3.46356100e-02
 3.51515152e-06  3.51348700e-02
 3.56464646e-06  3.55341700e-02
 3.61414141e-06  3.60333600e-02
 3.66363636e-06  3.65340400e-02
 3.71313131e-06  3.70336400e-02
 3.76262626e-06  3.75292500e-02
 3.81212121e-06  3.80293100e-02
 3.86161616e-06  3.85299300e-02
 3.91111111e-06  3.90277200e-02
 3.96060606e-06  3.95280000e-02
 4.01010101e-06  4.00294400e-02
 4.05959596e-06  4.05262000e-02
 4.10909091e-06  4.10266100e-02
 4.15858586e-06  4.15245900e-02
 4.20808081e-06  4.20245500e-02
 4.25757576e-06  4.25238200e-02
 4.30707071e-06  4.30206700e-02
 4.35656566e-06  4.35208500e-02
 4.40606061e-06  4.40204400e-02
 4.45555556e-06  4.45199300e-02
 4.50505051e-06  4.50182900e-02
 4.55454545e-06  4.54174500e-02
 4.60404040e-06  4.59178100e-02
 4.65353535e-06  4.64161700e-02
 4.70303030e-06  4.69143200e-02
 4.75252525e-06  4.74128100e-02
 4.80202020e-06  4.79134200e-02
 4.85151515e-06  4.84130100e-02
 4.90101010e-06  4.89117400e-02
 4.95050505e-06  4.94130300e-02
 5.00000000e-06  4.99124100e-02
 5.00000000e-06  4.99109300e-02
 4.95050505e-06  4.94109400e-02
 4.90101010e-06  4.89112700e-02
 4.85151515e-06  4.84135900e-02
 4.80202020e-06  4.79145700e-02
 4.75252525e-06  4.74139100e-02
 4.70303030e-06  4.69159100e-02
 4.65353535e-06  4.64157200e-02
 4.60404040e-06  4.59161500e-02
 4.55454545e-06  4.54180300e-02
 4.50505051e-06  4.50179300e-02
 4.45555556e-06  4.45179900e-02
 4.40606061e-06  4.40203400e-02
 4.35656566e-06  4.35206300e-02
 4.30707071e-06  4.30202200e-02
 4.25757576e-06  4.25239100e-02
 4.20808081e-06  4.20242100e-02
 4.15858586e-06  4.15235800e-02
 4.10909091e-06  4.10252300e-02
 4.05959596e-06  4.05263100e-02
 4.01010101e-06  4.00273900e-02
 3.96060606e-06  3.95276600e-02
 3.91111111e-06  3.90281600e-02
 3.86161616e-06  3.85303900e-02
 3.81212121e-06  3.80302500e-02
